Name,Gender,Age,Income,Expenses,Savings,FinancialGoal,RiskAppetite,ESGScore,SustainableInvestments,EducationLevel,EmploymentStatus,InvestmentHorizon,EthicalConsiderations
Roger Davis,Male,44,60273.61069365105,28870.583583109525,28872.45030230711,66691.69884747048,0.2466541770684081,56.84782103659567,Yes,Graduate,Unemployed,Medium Term,Environmental Impact
Laura Griffin,Male,51,104546.04473616384,25319.178974695962,49848.39871719525,117509.23559575189,0.32729594733006295,25.33803310651901,No,High School,Self-Employed,Long Term,Environmental Impact
David Williams,Female,25,77910.58468882888,16003.386729646003,42065.9780416341,53412.217272680304,0.5794670300364986,25.4860204350709,Yes,High School,Self-Employed,Short Term,Social Responsibility
Christina Hooper,Male,65,93786.58257918942,47246.40308628742,49150.99389268834,81351.43116863031,0.8918226281365728,8.17695615339783,Yes,Graduate,Self-Employed,Medium Term,Social Responsibility
David Stark,Male,22,56981.15082636724,44299.4079099189,5396.166333276684,130700.8186860479,0.5917716320324864,50.344456744394215,No,High School,Self-Employed,Long Term,Social Responsibility
Mackenzie Chandler,Male,48,103417.39499194418,32114.59153983458,35102.2310597474,80570.20293149077,0.14896970178004143,11.39354909994912,Yes,High School,Unemployed,Medium Term,Governance
Meghan Carson,Female,46,63152.202887919266,46557.906780845165,25055.02608281116,128489.8822199797,0.5737007848788186,66.157832341551,Yes,Graduate,Unemployed,Long Term,Governance
Mark Williams,Female,41,90642.57532257149,39626.63312426308,45702.34063194614,88798.70051383978,0.005077581240026996,17.955219586325498,No,College,Self-Employed,Short Term,Social Responsibility
Anthony Wu,Female,50,118190.82280612456,26774.77217451194,32616.549367735744,122453.94955170377,0.9801840412931456,18.22081345536546,No,Graduate,Self-Employed,Short Term,Social Responsibility
Jordan George,Female,55,82533.19276639077,22872.08057888245,32950.92639306353,159488.53752646834,0.040058679813694154,39.29573375378453,No,Graduate,Unemployed,Medium Term,Governance
Tammy Hicks,Male,24,101707.93325371324,26650.263940052613,48150.35672332701,71202.11313859127,0.4706526304295383,8.329056513496901,No,College,Employed,Short Term,Social Responsibility
Holly Hicks,Female,46,95279.17912966697,38811.516857127885,35714.81123458376,154813.28480123793,0.7686063908354664,87.67553471355032,Yes,College,Unemployed,Long Term,Social Responsibility
Christopher Johnson,Female,50,91923.92860824945,20850.318320392667,19442.165472818666,52758.27688344567,0.03362055440021783,29.764751578827465,Yes,High School,Self-Employed,Medium Term,Governance
Brianna Williams,Male,32,32398.243946744988,13115.48279867648,46216.959363440394,137450.74149896236,0.5311217262917768,58.7208388180246,Yes,Graduate,Self-Employed,Medium Term,Governance
Stephanie Hayes,Female,57,72713.11926765545,24912.326669514452,47524.44516943269,149529.25129994648,0.4792693392166235,45.4998148660021,No,Graduate,Employed,Short Term,Governance
Joseph Gonzalez,Male,20,117036.36265548458,30081.637702383312,22364.417065281978,56522.30112491884,0.7980175144721083,67.02598664905719,Yes,College,Unemployed,Medium Term,Governance
Victor Sims,Male,64,100461.35922882793,46077.64037033085,29310.679082415267,75547.9470567145,0.8212913207560718,62.381039416666376,No,Graduate,Self-Employed,Medium Term,Environmental Impact
Matthew Barr,Male,60,99854.58226548649,17173.774010892226,17727.304742572887,92602.0311571986,0.4524413682169097,26.507438973586538,No,High School,Self-Employed,Short Term,Environmental Impact
Paul Mullins,Male,51,81987.09562777646,42173.52077835027,46010.11669828781,168378.2741761133,0.240511492513802,96.67196267702573,Yes,College,Unemployed,Short Term,Governance
Elizabeth Ray,Female,37,94926.01010666761,49256.5545576598,41994.90789079848,142694.71645870968,0.5584869664391777,87.13448182493896,Yes,Graduate,Employed,Short Term,Environmental Impact
Robert Crane,Female,47,82517.0949342876,48163.17629841711,21873.11189728906,57962.78729844184,0.012422991493045044,18.719173380038413,Yes,College,Self-Employed,Short Term,Environmental Impact
Laura Anderson,Female,59,45346.08555719934,12757.057510909804,41126.753187873226,148213.68077230806,0.7317862838999784,18.508739082679536,Yes,College,Employed,Long Term,Governance
Jeffery Clark,Male,19,86612.27170308272,28603.767116675444,25050.06039072731,51250.12628726414,0.9499338956028706,74.70293192728325,Yes,High School,Employed,Short Term,Environmental Impact
Melody Peterson,Female,21,85776.22249509805,21292.274824836095,6973.324740972578,108296.77208554688,0.1327120017886585,60.405287339775015,No,Graduate,Unemployed,Short Term,Social Responsibility
Marissa Orozco,Male,48,105705.04124624378,43793.86017045312,45422.6724007634,90696.55686205062,0.29579042821423995,87.16157948479709,Yes,High School,Self-Employed,Medium Term,Environmental Impact
Katie Burke,Male,43,43299.81374702987,23092.036869044758,13663.05745701547,177812.44171358878,0.6476401984613512,10.633065874724767,No,College,Unemployed,Long Term,Social Responsibility
Philip Fowler,Male,45,91265.4205545611,32123.655812962705,28125.26150573451,149015.05599940472,0.09072950494237364,53.437600298162714,Yes,High School,Self-Employed,Long Term,Governance
Christina Parker,Female,61,32841.34620078895,10318.766942298222,47669.53188417881,179642.341033993,0.4797829513924986,0.5847069583340248,Yes,Graduate,Self-Employed,Long Term,Environmental Impact
Patricia Rodgers,Female,24,115338.46537058712,18026.846138118235,12532.766414607271,52861.74859012913,0.30483660222443065,11.667826036590778,Yes,College,Unemployed,Short Term,Environmental Impact
Francisco Nelson,Female,49,39890.596920032716,32552.269632967476,48032.42929130296,180111.56642817217,0.7033044879085036,17.173535120338922,No,High School,Unemployed,Short Term,Governance
Jose Boyd,Male,63,31704.36307559513,22156.372290723317,29208.867393391298,147411.67171283427,0.8579221112309455,47.71198739123569,Yes,College,Unemployed,Long Term,Governance
Jessica Cox MD,Male,46,58232.32351012697,34908.70095568418,5329.87637975803,84675.29302067254,0.7472866966103026,69.18062299869328,No,High School,Self-Employed,Short Term,Governance
Stephen King,Female,22,43628.813230741085,28557.067623219973,7946.231994667397,107105.18044442718,0.024413473728453927,86.8780520988383,No,Graduate,Self-Employed,Short Term,Social Responsibility
Rebecca Willis,Male,23,92145.02348266728,33667.637399392646,35165.08067643755,196491.79098347813,0.45484079766095153,96.58038075584682,Yes,Graduate,Employed,Short Term,Social Responsibility
Bailey Todd,Female,38,66933.96683904345,29734.427034195392,39811.201986617445,64940.5567763806,0.7718350078063004,60.18874401294544,Yes,Graduate,Employed,Short Term,Governance
Jennifer Deleon,Female,56,99747.50716263818,40904.53051802097,43922.788507068406,97318.39539631696,0.8741990380222714,48.672249393761135,Yes,High School,Employed,Short Term,Governance
Mary Keith,Female,27,112846.88549074896,17816.89695491294,24089.425337351324,180015.91182921798,0.405360372252358,61.849937448749294,Yes,Graduate,Self-Employed,Medium Term,Governance
Dominique Jenkins,Male,22,108553.59380210884,46017.73188905693,9676.706412815156,129734.09677448198,0.7898587127890572,97.3921892171687,No,Graduate,Self-Employed,Short Term,Social Responsibility
Gary Cook,Female,26,96225.35441418132,40419.28881286786,29198.939631087254,77962.60811262784,0.3704204606027227,36.07287830908766,Yes,Graduate,Employed,Medium Term,Governance
Breanna King,Male,35,35605.31574129887,19805.074975063315,36623.42898203936,125097.62343033183,0.464295787393317,67.38031429286421,Yes,College,Self-Employed,Short Term,Governance
Ryan Espinoza,Male,57,42427.42372066892,10255.115310072162,48930.07646025625,118697.9393221671,0.6334023028713736,69.02933543555608,No,Graduate,Employed,Medium Term,Governance
Derek Kelly,Female,58,48660.753447412026,26401.444382640795,39884.30332083776,188952.49595396503,0.860382650996037,39.499723765731396,No,College,Employed,Medium Term,Social Responsibility
Lisa Gould,Female,55,59254.45809834493,19319.909674389717,34095.25216932554,53223.26873215183,0.07069859195410655,30.26566586467261,No,Graduate,Employed,Long Term,Environmental Impact
Stephen Hall,Female,53,89600.4119742914,23856.947909576247,47288.800017874106,87108.82096246269,0.8934344402756589,12.508948993022695,Yes,Graduate,Unemployed,Long Term,Environmental Impact
Andrew Anderson,Female,63,77292.94362600318,43582.960275846955,38610.0871553418,129412.30457826798,0.33290613838225847,1.387591802181365,Yes,Graduate,Self-Employed,Short Term,Environmental Impact
Timothy Myers,Male,38,58237.73388640354,45087.944570063,11918.955974794048,100035.44519461636,0.03271417540751376,11.191250246739548,Yes,Graduate,Self-Employed,Medium Term,Environmental Impact
Isaiah Alvarez,Male,42,45586.41814715949,48039.61048573773,25665.135586701876,109009.9726740912,0.42590225303834683,1.5885246515515705,No,High School,Employed,Short Term,Environmental Impact
Robert Stevens,Female,56,112091.17448316094,10058.48162142311,19927.19189602795,73550.78758862491,0.26978938056569524,97.05203636603139,Yes,College,Self-Employed,Long Term,Environmental Impact
Jennifer Moore,Male,51,60809.431591366156,36292.15400703991,8938.440407038937,102016.98543613183,0.9460954935290011,85.90120302648492,Yes,High School,Employed,Medium Term,Governance
Dalton Suarez,Male,36,61885.828978033154,43960.23951115687,7442.063190114846,102786.96234007715,0.542435106450538,20.92294803344994,No,College,Employed,Medium Term,Environmental Impact
Gregory Singleton,Male,47,99479.08057338667,39088.601561638905,40739.66541391506,143784.64553765155,0.7944787532623591,64.86232217040224,Yes,College,Self-Employed,Long Term,Environmental Impact
Tara Thompson,Male,50,94883.21051945633,14157.960774062387,30113.789239301484,85430.7148560819,0.7876918441404788,64.97398260368422,Yes,High School,Unemployed,Short Term,Environmental Impact
Kelly Smith,Male,56,87897.81899995153,31192.5795624005,30873.30324182562,196736.64008668193,0.0809590415690482,43.578847380049304,Yes,Graduate,Employed,Long Term,Social Responsibility
Steve Sanders,Female,45,92398.19790268388,19526.70378083463,15244.05357237455,125187.7191765736,0.8808472479559084,62.60591511293452,Yes,Graduate,Unemployed,Short Term,Environmental Impact
Brandon Young,Male,24,84906.89220708763,29681.155073995906,16639.158154602905,171783.92901496182,0.735760785134459,79.0011536617447,No,College,Self-Employed,Short Term,Social Responsibility
Michelle Koch,Female,62,47303.775222304204,12395.803026127585,22461.467164014684,143868.85455736448,0.054811675211313915,19.091445271740515,Yes,High School,Employed,Medium Term,Environmental Impact
Ashley Walker,Female,25,52186.72219746243,49878.370804301936,33359.77690816045,181801.59112867404,0.9453222297877379,30.091786958069456,Yes,College,Self-Employed,Long Term,Environmental Impact
John Smith,Female,59,80227.79857266638,38466.09898800411,24486.12655876719,183560.31291181422,0.6746529665886649,46.34255554390374,No,High School,Unemployed,Short Term,Environmental Impact
Christopher Kirby,Female,59,50238.03341935351,13721.065534323528,5760.093573686358,172228.79565175055,0.8879779059556319,47.39890875062288,Yes,Graduate,Self-Employed,Medium Term,Governance
James Garcia,Male,53,117561.95648315121,46850.97611888425,35298.44295474708,54419.88476828116,0.11096654372628767,2.181682822450115,Yes,Graduate,Employed,Long Term,Social Responsibility
Michael Kaufman,Male,64,56785.310874921706,45891.49887725837,29067.546652745095,133240.90273952082,0.36559085894638943,16.610549317609767,Yes,College,Unemployed,Long Term,Social Responsibility
Eric Barnes,Female,31,56010.37236631724,30790.36873968148,33864.02359167379,92029.07669423075,0.6191334503954227,15.242223992035663,Yes,College,Employed,Medium Term,Governance
Madison Fuller,Female,45,48655.001536917625,38033.87638794718,32825.7211509771,72756.2271153027,0.3655711439731195,70.25981057082559,Yes,High School,Self-Employed,Short Term,Social Responsibility
Lisa Robinson,Male,46,93448.94337661771,24899.67896296323,39018.22685128298,184576.29724537572,0.1752674031866539,96.38668707389148,Yes,College,Self-Employed,Medium Term,Social Responsibility
Veronica Morgan,Female,32,58533.66705166032,48982.19160673004,31352.360599102514,148539.7638424419,0.5587904580300573,47.14891986521167,Yes,High School,Unemployed,Long Term,Social Responsibility
Brooke Carter,Female,44,61392.285678117594,13396.096700659582,36539.69141223509,63169.252570595214,0.0670059141573176,85.97964454406221,No,College,Employed,Medium Term,Governance
Courtney Hayes,Male,39,114033.03372937205,13823.080213495423,8266.52501595397,107331.06827816126,0.7093371359525286,58.522626938394936,Yes,High School,Unemployed,Medium Term,Environmental Impact
Jody Moore,Female,47,101586.48204021002,15340.554010038279,46762.14875748502,194090.85401668574,0.2047125930965379,20.13384200247481,No,College,Employed,Long Term,Environmental Impact
Mr. Matthew Hernandez,Male,43,54611.17830798808,42798.51567576864,9776.099384148765,141867.2590025158,0.9812516222516423,56.94304617453423,No,High School,Employed,Medium Term,Governance
Andrew Gray,Female,44,40968.669515944355,12993.2193731951,40410.13539481565,143828.690074224,0.2386327053579228,83.38385328034565,Yes,High School,Unemployed,Long Term,Social Responsibility
Mark Beck,Male,64,90896.00212042911,32712.82913156833,18560.7819430192,84114.19661790133,0.1135576788264393,5.092218021936756,Yes,High School,Self-Employed,Short Term,Social Responsibility
Christian Owen,Male,24,64172.476683694425,27399.31513739941,8892.734964700672,86054.12122558641,0.4784934650166337,0.78742809792125,No,Graduate,Unemployed,Long Term,Social Responsibility
Stephanie Miller,Female,38,118214.4483589226,48568.73098930963,39437.340845920815,72912.37312532774,0.9391479324719096,63.0409880337339,No,College,Unemployed,Medium Term,Governance
Erin Chen,Male,45,103653.97141175061,19470.86938967586,24695.426726070124,195580.57596428256,0.5801193853551997,71.30928146227295,Yes,Graduate,Unemployed,Medium Term,Social Responsibility
Rachel Marshall,Male,38,115914.79770523153,20439.6375569444,22780.096620287793,186460.30903462568,0.9591037310871751,97.94869379377803,Yes,High School,Employed,Long Term,Social Responsibility
Robert Henry,Female,60,102415.42505609134,22600.35661639033,34732.54242082582,99392.71075558197,0.2097939756004027,84.86162610031903,Yes,Graduate,Unemployed,Long Term,Social Responsibility
Tracy Nguyen,Male,34,56140.7386793642,42032.67287997981,26329.445481557814,131335.06268088386,0.7450167146391116,73.70783133705055,Yes,College,Unemployed,Long Term,Governance
Kelli Cole,Male,41,55886.730745272595,38029.02425286168,29006.049371465724,81013.5911991514,0.22543722629892682,59.583955057768925,No,High School,Self-Employed,Short Term,Social Responsibility
Mallory Williams,Female,27,94272.71587485558,39414.11475129472,11137.165714829605,70786.4790197805,0.3527116693402308,55.43045252489027,No,College,Unemployed,Short Term,Governance
Andrea Pineda,Female,61,61172.71626860548,22722.308770644024,22594.665444304563,131203.07402765224,0.26735785233651077,29.077453193826386,Yes,High School,Self-Employed,Medium Term,Environmental Impact
Theresa Stone,Male,48,69813.85006783518,20878.234873298177,40886.80757750596,170015.75887461402,0.6802267389217699,48.74965131258991,Yes,High School,Self-Employed,Medium Term,Governance
Mark Benson,Male,22,53079.957792613386,12987.49743209919,29557.601088837015,179388.14923701022,0.27714533399388186,48.61009606223979,No,College,Self-Employed,Long Term,Environmental Impact
Bethany Chan,Female,23,73117.13367148349,18108.505051169348,48206.041928619554,96349.7594243274,0.06336918005953562,59.10392755613787,No,Graduate,Employed,Long Term,Environmental Impact
Christopher Williams,Female,23,48186.12064805368,41197.479298754515,11483.39918563174,155770.45816776511,0.3452265817851621,61.14952931946587,Yes,Graduate,Employed,Medium Term,Governance
Elizabeth Barker,Male,23,78472.01313377875,33388.321432165154,35478.00704772781,128570.82252528076,0.4862269051481045,67.8667917140373,No,High School,Employed,Medium Term,Social Responsibility
Edward Marquez,Male,45,113972.1540404977,16216.422052877468,46137.601237307805,70287.8740765873,0.5266825991091119,81.66892369660303,Yes,High School,Self-Employed,Short Term,Governance
Alexis Howard,Male,24,92655.41705821404,16574.999227990727,40775.77050046067,199352.8700348013,0.12270943425717828,48.790149563480746,No,High School,Self-Employed,Short Term,Environmental Impact
Sherry Thompson,Male,65,42354.56593208307,28642.20449746647,37819.60594771301,196366.5363602899,0.709825288742069,71.42903287761261,Yes,High School,Employed,Short Term,Social Responsibility
Gene Frost,Male,65,85410.93309730431,26260.50207636855,21790.87317051458,71772.85923387678,0.6783082919223533,52.83088089452658,Yes,College,Self-Employed,Long Term,Governance
Daniel Cruz,Female,41,82814.74487137336,31436.981963600945,47725.92965887307,189954.491963436,0.5328554652590394,42.200454753937834,No,High School,Self-Employed,Short Term,Social Responsibility
Robert Compton,Male,26,51821.223456925814,48585.38889000915,29908.58844939255,187566.8181010126,0.2922643531261263,31.58501502369022,No,College,Employed,Medium Term,Social Responsibility
Mitchell Craig,Male,53,90285.05684037936,18305.44902441414,29978.138553811787,97624.43162629087,0.6209512678395647,6.351056894547391,Yes,Graduate,Employed,Long Term,Governance
Natasha Cordova,Male,21,77793.73407595193,22332.308728500182,10545.582152007455,133601.04471403532,0.7999038671948497,89.28771961353739,Yes,College,Self-Employed,Long Term,Social Responsibility
James Guerra,Female,55,87415.01160677738,20600.317076588326,5226.34275833023,192290.2346247142,0.945365322330766,41.71374580945118,Yes,High School,Employed,Short Term,Governance
Tiffany Hall,Male,53,34724.19961555165,14796.542254215743,31849.469935399862,67758.0936075768,0.8087958766377302,47.33379715453143,No,Graduate,Unemployed,Short Term,Environmental Impact
Chelsey Combs,Female,53,67197.12294434328,16304.615082620649,29171.842184950743,97639.63837868255,0.9408758870000417,49.47888003490618,No,Graduate,Self-Employed,Medium Term,Governance
Jeffrey Leon,Female,39,94562.22506252193,37442.19371802061,47614.07251529923,181945.7182424398,0.06562759122515893,93.89644760353849,No,High School,Unemployed,Long Term,Social Responsibility
Kimberly Boyd,Male,60,39049.04142996131,43055.46751758599,18711.101855727877,159061.92998902872,0.8919032132922037,34.67641133690281,Yes,Graduate,Self-Employed,Short Term,Governance
Bailey Thompson,Male,25,99368.94522884513,37875.11932948306,38673.3464029757,164815.25188537774,0.4578741199322697,69.75144403892011,Yes,High School,Employed,Short Term,Social Responsibility
Ronald Marks,Female,44,30466.330176641703,11613.192324346535,45659.58691885456,182019.7850162864,0.08017040335150427,2.0806924710671804,No,Graduate,Unemployed,Short Term,Environmental Impact
Richard Davis,Female,40,79531.7309201655,43436.99003951945,20473.324243189112,112106.02331295183,0.8979458598704027,28.801078145361792,Yes,High School,Employed,Long Term,Environmental Impact
Marilyn Pollard,Female,60,113618.971215298,23111.74635539168,23569.452321181157,111687.7644919024,0.2883726876844205,19.220129750103077,No,College,Self-Employed,Medium Term,Social Responsibility
Rodney Butler,Female,45,66621.67063921952,13648.516151653945,34066.91766020394,116450.6730574478,0.9566269299160488,34.38473898031613,No,College,Employed,Long Term,Social Responsibility
Sherry Flores,Female,64,114152.88887365365,19928.751578450203,28064.871254641414,190065.27865867893,0.10936492059205627,23.210311314192367,Yes,High School,Unemployed,Medium Term,Governance
Ralph Welch,Male,21,109055.96593628054,24229.71022017135,12242.946090397776,184119.5139700704,0.275942736208622,21.97023450408779,No,High School,Unemployed,Short Term,Social Responsibility
Cynthia Graham,Male,36,72970.36683968068,30538.38701514918,14935.458621083359,189987.50456237004,0.6970821108516606,90.90701541675186,Yes,High School,Employed,Short Term,Governance
Samuel Love,Male,56,47951.03772008415,37087.33507956287,42563.676509062796,91069.42469472854,0.4963287349827443,33.915299863916324,No,Graduate,Self-Employed,Medium Term,Social Responsibility
Melinda Buck,Male,37,116752.26350018421,20406.671708848953,13744.679690584644,166866.18274591892,0.8749931395370971,60.21001328040197,No,High School,Self-Employed,Short Term,Environmental Impact
Teresa Bell,Female,40,58905.093190725005,49627.064816316284,13161.109314814254,66015.71492651016,0.52068763935644,84.24671345591483,Yes,High School,Employed,Medium Term,Governance
Suzanne Becker,Male,24,88130.8126101243,11243.283734350382,40984.70241224891,77711.97448618509,0.6272761972448995,65.69581364726072,No,High School,Self-Employed,Medium Term,Governance
Sheila Carlson,Male,54,111714.32628620602,26175.689057886986,43351.30074953641,164367.1225599448,0.2931694419423986,13.115856709460461,Yes,High School,Employed,Long Term,Environmental Impact
Patricia Robertson,Male,50,38051.46484603647,28088.04677604251,43312.44750914634,141797.23965035361,0.9695746055424465,29.339404197778553,No,College,Unemployed,Medium Term,Social Responsibility
Sabrina Burnett,Male,31,81672.00178578359,39923.13788834837,46956.64394314169,90029.39195067194,0.5414349580684413,71.13851859448197,No,High School,Unemployed,Medium Term,Social Responsibility
Brett Warner,Male,27,78163.70492042441,19994.105128862044,49744.087269144504,135056.4639408462,0.13202736879814347,95.98033682768127,Yes,Graduate,Employed,Short Term,Environmental Impact
Paige Weber,Male,60,95080.5910418181,28481.72995504956,25756.934166031726,84636.70230995194,0.3467002467820791,83.30807457953466,Yes,Graduate,Self-Employed,Short Term,Governance
